Hurricane;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
I Am A Lonesome Hobo;John Wesley Harding;Bob Dylan;1967
It Ain't Me Babe (live);Before The Flood;Bob Dylan;1974
It's Raining Again;Breakfast In America;Supertramp;1979
Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Mr. Tambourine Man;The Best Of Bob Dylan;Bob Dylan;1997
Nothing Was Delivered;The Basement Tapes;Bob Dylan;1975
Simple Twist Of Fate;Blood On The Tracks;Bob Dylan;1975
Standing In The Doorway;Time Out Of Mind;Bob Dylan;1997
Tangled Up In Blue;The Best Of Bob Dylan;Bob Dylan;1997
Temporary Like Achilles;Blonde On Blonde;Bob Dylan;1966
The Shape I'm In (live);Before The Flood;Bob Dylan;1974
The Wicked Messenger;John Wesley Harding;Bob Dylan;1967
Tryin' To Get To Heaven;Time Out Of Mind;Bob Dylan;1997
When You Gonna Wake Up;Slow Train Coming;Bob Dylan;1979
You Win I Lose;Some Things Never Change;Supertramp;1997
Your Poppa Don't Mind;Indelibly Stamped;Supertramp;1971
Ballad Of A Thin Man;Highway 61 Revisited;Bob Dylan;1965
Blowin' In The Wind;The Best Of Bob Dylan;Bob Dylan;1997
Coming Home To See You;Indelibly Stamped;Supertramp;1971
From Now On;Even In The Quietest Moments;Supertramp;1977
Highway 61 Revisited;Highway 61 Revisited;Bob Dylan;1965
I Shall Be Released;The Best Of Bob Dylan;Bob Dylan;1997
I Want You;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
It's Alright Ma;Bringing It All Back Home;Bob Dylan;1965
Just Like A Woman (live);Before The Flood;Bob Dylan;1974
Like A Rolling Stone;Highway 61 Revisited;Bob Dylan;1965
Like A Rolling Stone (live);MTV Unplugged;Bob Dylan;1994
Like A Rolling Stone (live);Self Portrait;Bob Dylan;1970
Long Distance Operator;The Basement Tapes;Bob Dylan;1975
Obviously Five Believers;Blonde On Blonde;Bob Dylan;1966
River Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
See That My Grave Is Kept Clean;Bob Dylan;Bob Dylan;1962
Something There Is About You;Planet Waves;Bob Dylan;1974
Sooner Or Later;Some Things Never Change;Supertramp;1997
With God On Our Side (live);MTV Unplugged;Bob Dylan;1994
You're A Big Girl Now;Blood On The Tracks;Bob Dylan;1975
Babaji;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Black Crow Blues;Another Side Of Bob Dylan;Bob Dylan;1964
Breakfast In America;Breakfast In America;Supertramp;1979
Casual Conversations;Breakfast In America;Supertramp;1979
Crime Of The Century;Crime Of The Century;Supertramp;1974
Everything Is Broken;The Best Of Bob Dylan;Bob Dylan;1997
Give Me A Chance;Some Things Never Change;Supertramp;1997
Gotta Serve Somebody;The Best Of Bob Dylan;Bob Dylan;1997
It Ain't Me Babe;Another Side Of Bob Dylan;Bob Dylan;1964
Leopard-Skin Pill-Box Hat;Blonde On Blonde;Bob Dylan;1966
Like A Rolling Stone;The Best Of Bob Dylan;Bob Dylan;1997
Live To Love You;Some Things Never Change;Supertramp;1997
Meet Me In The Morning;Blood On The Tracks;Bob Dylan;1975
Shelter From The Storm;Blood On The Tracks;Bob Dylan;1975
Something's Burning, Baby;Empire Burlesque;Bob Dylan;198
Turkey Chase;Pat Garrett And Billy The Kid;Bob Dylan;1973
Tweedle Dee And Tweedle Dum;Love And Theft;Bob Dylan;2001
You Ain't Goin' Nowhere;The Basement Tapes;Bob Dylan;1975
You're Gonna Quit Me;Good As I Been To You;Bob Dylan;1992
Ballad In Plain D;Another Side Of Bob Dylan;Bob Dylan;1964
Cannonball (live);It Was The Best Of Times;Supertramp;1999
Cantina Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Chimes Of Freedom;Another Side Of Bob Dylan;Bob Dylan;1964
I Shall Be Released (live);Before The Flood;Bob Dylan;1974
It's A Hard World;Some Things Never Change;Supertramp;1997
Not Dark Yet;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
On The Road Again;Bringing It All Back Home;Bob Dylan;1965
She Belongs To Me;Bringing It All Back Home;Bob Dylan;1965
Up On Cripple Creek (live);Before The Flood;Bob Dylan;1974
All Along The Watchtower;John Wesley Harding;Bob Dylan;1967
Ballad Of A Thin Man (live);Before The Flood;Bob Dylan;1974
From Now On (live);It Was The Best Of Times;Supertramp;1999
Highway 61 Revisited (live);Before The Flood;Bob Dylan;1974
Like A Rolling Stone (live);Before The Flood;Bob Dylan;1974
Mr. Tambourine Man;Bringing It All Back Home;Bob Dylan;1965
Seeing The Real You At Last;Empire Burlesque;Bob Dylan;1985
Shelter From The Storm;The Best Of Bob Dylan;Bob Dylan;1997
Take The Long Way Home;Breakfast In America;Supertramp;1979
Tell Me That It Isn't True;Nashville Skyline;Bob Dylan;1969
Til I Fell In Love With You;Time Out Of Mind;Bob Dylan;1997
Ugliest Girl In The World;Down In The Groove;Bob Dylan;1988
When Did You Leave Heaven;Down In The Groove;Bob Dylan;1988
All Along The Watchtower (live);MTV Unplugged;Bob Dylan;1994
As I Went Out One Morning;John Wesley Harding;Bob Dylan;1967
Bunkhouse Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Fool's Overture;Even In The Quietest Moments;Supertramp;1977
Froggie Went A Courtin';Good As I Been To You;Bob Dylan;1992
Girl From The North Country;Nashville Skyline;Bob Dylan;1969
Goodbye Stranger;The Very Best Of Supertramp;Supertramp;1990
